term_str,n,n_chars,p,i,max_pos,n_pos,max_pos_group,stop,stem_porter,stem_snowball,stem_lancaster,tfidf_mean,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
accusation,2,10,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,accus,accus,accus,0.02899288364492655,14.099697098901123,1,0,1,0,0,1,0,0,0,0,-1
accused,8,7,1.0259974940011209e-05,16.572613267270178,VBN,3,VB,0,accus,accus,accus,0.02927592064650451,36.6974553917507,1,0,0,1,0,1,0,0,0,0,-1
accusing,3,8,3.8474906025042036e-06,17.987650766549024,VBG,1,VB,0,accus,accus,accus,0.017422731199032104,19.394658146188217,1,0,0,1,0,1,0,0,0,0,-1
ache,6,4,7.694981205008407e-06,16.987650766549024,NN,3,NN,0,ach,ach,ach,0.027460877056647532,32.789316292376434,0,0,0,0,0,1,0,1,0,0,-1
achieve,3,7,3.8474906025042036e-06,17.987650766549024,VB,2,VB,0,achiev,achiev,achiev,0.014031616805862417,19.394658146188217,0,0,0,0,1,0,1,0,0,1,1
achievement,5,11,6.412484337507005e-06,17.250685172382816,NN,1,NN,0,achiev,achiev,achiev,0.03007122011518093,28.639602272815992,0,1,0,0,1,0,1,0,0,1,1
aching,9,6,1.154247180751261e-05,16.402688265827866,VBG,3,VB,0,ach,ach,ach,0.042881708645042795,40.39878839560449,0,0,0,0,0,1,0,1,0,0,-1
acquiring,1,9,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,acquir,acquir,acquir,0.023816119968788647,8.049848549450562,0,1,0,0,0,0,1,0,0,0,1
acrobat,2,7,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,acrobat,acrobat,acrob,0.013830403433536035,14.099697098901123,0,0,0,1,1,0,1,0,0,1,1
addresses,5,9,6.412484337507005e-06,17.250685172382816,NNS,2,NN,0,address,address,address,0.09916553970490413,28.639602272815992,0,1,0,0,0,0,1,0,0,0,1
admirable,3,9,3.8474906025042036e-06,17.987650766549024,JJ,2,JJ,0,admir,admir,admir,0.022665451609365072,19.394658146188217,0,0,0,0,1,0,1,0,0,1,1
admiral,4,7,5.1299874700056045e-06,17.572613267270178,NNP,3,NN,0,admir,admir,admir,0.019276453457501903,24.199394197802246,0,0,0,0,0,0,1,0,0,1,1
admiration,23,10,2.9497427952532226e-05,15.049051311213166,NN,3,NN,0,admir,admir,admir,0.019006607913355532,78.98917247789181,0,0,0,0,1,0,1,0,0,1,1
admire,9,6,1.154247180751261e-05,16.402688265827866,VB,5,VB,0,admir,admir,admir,0.018431899478655246,40.39878839560449,0,0,0,0,0,0,1,0,0,1,1
admonition,1,10,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,admonit,admonit,admonit,0.059190062863607076,8.049848549450562,0,0,0,1,0,1,0,0,0,0,-1
adorable,7,8,8.977478072509808e-06,16.765258345212576,JJ,3,JJ,0,ador,ador,ad,0.020543865886193325,32.789316292376434,0,0,0,0,1,0,1,0,0,0,1
adoration,8,9,1.0259974940011209e-05,16.572613267270178,NN,1,NN,0,ador,ador,ad,0.022332146025265457,40.39878839560449,0,0,0,0,1,0,1,0,0,1,1
adore,10,5,1.282496867501401e-05,16.250685172382816,RB,5,RB,0,ador,ador,ad,0.026482210070874174,40.39878839560449,0,1,0,0,1,0,1,0,0,1,1
adrift,3,6,3.8474906025042036e-06,17.987650766549024,NN,2,NN,0,adrift,adrift,adrift,0.026593515338553197,19.394658146188217,0,1,0,1,0,1,0,1,0,0,-1
advance,24,7,3.077992482003363e-05,14.987650766549022,NN,3,NN,0,advanc,advanc,adv,0.020371536137220536,72.23649968413255,0,1,0,1,1,0,1,0,1,0,1
advent,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,advent,advent,adv,0.02630669460604759,8.049848549450562,0,1,0,0,1,0,1,0,0,1,1
adventure,24,9,3.077992482003363e-05,14.987650766549022,NN,4,NN,0,adventur,adventur,adv,0.02408318797023823,74.55840909126398,0,1,0,0,0,0,1,0,0,0,1
adversary,2,9,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,adversari,adversari,advers,0.09334521690476207,14.099697098901123,1,0,0,0,0,1,0,0,0,0,-1
adverse,1,7,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,advers,advers,advers,0.01701870729270732,8.049848549450562,1,0,1,1,0,1,0,1,0,0,-1
advisable,3,9,3.8474906025042036e-06,17.987650766549024,JJ,1,JJ,0,advis,advis,adv,0.03103964692276782,19.394658146188217,0,0,0,0,0,0,1,0,0,1,1
advise,14,6,1.7954956145019616e-05,15.765258345212574,VB,3,VB,0,advis,advis,adv,0.03275833322035507,56.542314807023104,0,0,0,0,0,0,1,0,0,1,1
adviser,1,7,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,advis,advis,adv,0.016982802846942112,8.049848549450562,0,0,0,0,0,0,1,0,0,1,1
affection,34,9,4.360489349504764e-05,14.485150426019839,NN,2,NN,0,affect,affect,affect,0.029410641100573218,85.14980899189591,0,0,0,0,1,0,1,0,0,1,1
affront,1,7,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,affront,affront,affront,0.017928393205903257,8.049848549450562,1,0,1,1,0,1,0,1,1,0,-1
afraid,134,6,0.00017185458024518774,12.506524076812406,JJ,10,JJ,0,afraid,afraid,afraid,0.017260992001535625,139.00915680260186,0,0,0,1,0,1,0,0,0,0,-1
aftermath,2,9,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,aftermath,aftermath,afterma,0.04782010805219018,14.099697098901123,1,0,1,1,0,1,0,1,0,0,-1
aggressive,2,10,2.5649937350028022e-06,18.572613267270178,JJ,1,JJ,0,aggress,aggress,aggress,0.02280233612676024,14.099697098901123,1,0,0,1,0,1,0,0,0,0,-1
aghast,3,6,3.8474906025042036e-06,17.987650766549024,NN,2,NN,0,aghast,aghast,aghast,0.10913735245558859,19.394658146188217,0,0,1,1,0,1,0,0,1,0,-1
agitated,11,8,1.4107465542515412e-05,16.11318164863288,JJ,4,JJ,0,agit,agit,agit,0.02694113010969742,47.279204545631984,1,0,0,0,0,1,0,0,0,0,-1
agitation,21,9,2.6932434217529424e-05,15.180295844491418,NN,1,NN,0,agit,agit,agit,0.02666453437838211,59.39491078350141,1,0,0,0,0,1,0,0,0,0,-1
agony,13,5,1.6672459277518214e-05,15.872173549129087,NN,1,NN,0,agoni,agoni,agony,0.047679010568998724,53.57863258475287,1,0,0,1,0,1,0,1,0,0,-1
agreeable,7,9,8.977478072509808e-06,16.765258345212576,JJ,2,JJ,0,agreeabl,agreeabl,agr,0.02239571081004161,36.6974553917507,0,0,0,0,0,0,1,0,0,1,1
agreed,106,6,0.0001359446679551485,12.84469281270698,VBD,7,VB,0,agre,agre,agree,0.021676033754368818,132.91187705251687,0,0,0,0,0,0,1,0,0,1,1
agreeing,4,8,5.1299874700056045e-06,17.572613267270178,VBG,1,VB,0,agre,agre,agr,0.029539042567312254,24.199394197802246,0,0,0,0,0,0,1,0,0,1,1
agreement,14,9,1.7954956145019616e-05,15.765258345212574,NN,1,NN,0,agreement,agreement,agr,0.033014295395097835,59.39491078350141,0,0,0,0,0,0,1,0,0,1,1
airs,8,4,1.0259974940011209e-05,16.572613267270178,NN,2,NN,0,air,air,air,0.020877386850446347,40.39878839560449,0,0,1,0,0,1,0,0,0,0,-1
alarm,21,5,2.6932434217529424e-05,15.180295844491418,NN,3,NN,0,alarm,alarm,alarm,0.02945180677345968,69.83862386414849,0,0,0,1,0,1,0,0,1,0,-1
alarming,9,8,1.154247180751261e-05,16.402688265827866,VBG,3,VB,0,alarm,alarm,alarm,0.024405889903660688,43.919311932074244,0,0,0,1,0,1,0,0,1,0,-1
alertness,6,9,7.694981205008407e-06,16.987650766549024,NN,1,NN,0,alert,alert,alert,0.036946841119755054,32.789316292376434,0,1,0,1,0,0,1,0,1,0,1
alien,3,5,3.8474906025042036e-06,17.987650766549024,NN,1,NN,0,alien,alien,aly,0.02182372090089349,19.394658146188217,0,0,1,1,0,1,0,0,0,0,-1
alienation,1,10,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,alien,alien,aly,0.017386281964256074,8.049848549450562,1,0,1,1,0,1,0,1,0,0,-1
alive,44,5,5.642986217006165e-05,14.113181648632882,JJ,7,JJ,0,aliv,aliv,al,0.01920860107376358,100.72111407880756,0,1,0,0,1,0,1,0,0,1,1
allegiance,1,10,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,allegi,allegi,allegy,0.013218142117324404,8.049848549450562,0,0,0,0,0,0,1,0,0,1,1
allied,4,6,5.1299874700056045e-06,17.572613267270178,NNP,3,NN,0,alli,alli,al,0.05190633992917952,24.199394197802246,0,0,0,0,0,0,1,0,0,1,1
ally,1,4,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,alli,alli,al,0.0555161968927625,8.049848549450562,0,0,0,0,0,0,1,0,0,1,1
altercation,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,alterc,alterc,alterc,0.013218142117324404,8.049848549450562,1,0,0,0,0,1,0,0,0,0,-1
amazingly,14,9,1.7954956145019616e-05,15.765258345212574,RB,3,RB,0,amazingli,amaz,amaz,0.032171129885294206,56.542314807023104,0,0,0,0,1,0,1,0,1,0,1
ambassador,7,10,8.977478072509808e-06,16.765258345212576,NN,2,NN,0,ambassador,ambassador,ambassad,0.026688747895415733,28.639602272815992,0,0,0,0,0,0,1,0,0,1,1
ambition,7,8,8.977478072509808e-06,16.765258345212576,NN,1,NN,0,ambit,ambit,ambit,0.09197710602801369,32.789316292376434,0,1,0,0,1,0,1,0,0,1,1
ambulance,2,9,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,ambul,ambul,amb,0.05524959678252791,14.099697098901123,0,0,0,1,0,0,0,0,0,1,0
ambush,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,ambush,ambush,ambush,0.04707513771608516,8.049848549450562,1,0,0,1,0,1,0,0,1,0,-1
amen,2,4,2.5649937350028022e-06,18.572613267270178,NN,2,NN,0,amen,amen,am,0.0217812316602853,14.099697098901123,0,0,0,0,1,0,1,0,0,1,1
amicable,1,8,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,amic,amic,am,0.013218142117324404,8.049848549450562,0,0,0,0,1,0,1,0,0,0,1
amour,1,5,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,amour,amour,amo,0.030262588531769028,8.049848549450562,0,1,0,0,1,0,1,0,0,1,1
amuse,10,5,1.282496867501401e-05,16.250685172382816,VB,3,VB,0,amus,amus,amus,0.04607728221310823,43.919311932074244,0,0,0,0,1,0,1,0,0,0,1
amused,37,6,4.745238409755184e-05,14.363159901641229,VBN,5,VB,0,amus,amus,amus,0.025925097943990675,88.96394827675151,0,0,0,0,1,0,1,0,0,0,1
amusement,31,9,3.975740289254344e-05,14.618416956883303,NN,4,NN,0,amus,amus,amus,0.0285110710878528,92.56415907536669,0,0,0,0,1,0,1,0,0,0,1
amusing,20,7,2.564993735002802e-05,15.250685172382816,VBG,6,VB,0,amus,amus,amus,0.026919608986770597,67.36055703940377,0,0,0,0,1,0,1,0,0,0,1
anarchist,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,anarchist,anarchist,anarch,0.03985073539331962,8.049848549450562,1,0,0,1,0,1,0,0,0,0,-1
anchorage,2,9,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,anchorag,anchorag,anch,0.025022315917323512,14.099697098901123,0,0,0,0,0,0,1,1,0,0,1
angel,5,5,6.412484337507005e-06,17.250685172382816,NN,1,NN,0,angel,angel,angel,0.10197660400251146,24.199394197802246,0,1,0,0,1,0,1,0,1,1,1
angelic,1,7,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,angel,angel,angel,0.03144472089629126,8.049848549450562,0,0,0,0,1,0,1,0,0,1,1
anger,46,5,5.899485590506445e-05,14.049051311213166,NN,5,NN,0,anger,anger,ang,0.03240286357241322,105.09462180139964,1,0,0,0,0,1,0,0,0,0,-1
angling,2,7,2.5649937350028022e-06,18.572613267270178,VBG,1,VB,0,angl,angl,angl,0.07580482311237163,14.099697098901123,0,1,0,0,0,1,0,0,0,0,-1
angry,52,5,6.668983711007285e-05,13.872173549129087,JJ,6,JJ,0,angri,angri,angry,0.02171028773063435,107.81340689294422,1,0,1,0,0,1,0,0,0,0,-1
anguish,8,7,1.0259974940011209e-05,16.572613267270178,JJ,3,JJ,0,anguish,anguish,anct,0.03200917174424929,36.6974553917507,1,0,0,1,0,1,0,1,0,0,-1
animated,6,8,7.694981205008407e-06,16.987650766549024,NN,4,NN,0,anim,anim,anim,0.037707978144997024,24.199394197802246,0,0,0,0,1,0,1,0,0,0,1
animosity,3,9,3.8474906025042036e-06,17.987650766549024,NN,1,NN,0,animos,animos,animos,0.18407158929082232,19.394658146188217,1,0,1,1,0,1,0,1,0,0,-1
annihilate,1,10,1.2824968675014011e-06,19.572613267270178,VB,1,VB,0,annihil,annihil,annihil,0.06544592316626474,8.049848549450562,1,0,0,1,0,1,0,0,0,0,-1
annihilated,1,11,1.2824968675014011e-06,19.572613267270178,VBN,1,VB,0,annihil,annihil,annihil,0.032590479957289725,8.049848549450562,1,0,0,1,0,1,0,1,0,0,-1
annihilation,1,12,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,annihil,annihil,annihil,0.035936823881475725,8.049848549450562,1,0,0,1,0,1,0,1,0,0,-1
annoy,4,5,5.1299874700056045e-06,17.572613267270178,VB,2,VB,0,annoy,annoy,annoy,0.035214347587304275,19.394658146188217,1,0,1,0,0,1,0,0,0,0,-1
annoyance,23,9,2.9497427952532226e-05,15.049051311213166,NN,2,NN,0,annoy,annoy,annoy,0.01541249952005477,74.55840909126398,1,0,1,0,0,1,0,0,0,0,-1
annoying,4,8,5.1299874700056045e-06,17.572613267270178,VBG,3,VB,0,annoy,annoy,annoy,0.03642070708814474,24.199394197802246,1,0,0,0,0,1,0,0,0,0,-1
anomaly,2,7,2.5649937350028022e-06,18.572613267270178,NN,2,NN,0,anomali,anomali,anoma,0.11259189710515861,14.099697098901123,0,0,0,1,0,1,0,0,1,0,-1
antagonism,3,10,3.8474906025042036e-06,17.987650766549024,NN,1,NN,0,antagon,antagon,antagon,0.060757831459222034,19.394658146188217,1,0,0,0,0,1,0,0,0,0,-1
antagonist,3,10,3.8474906025042036e-06,17.987650766549024,NN,1,NN,0,antagonist,antagonist,antagon,0.02358417863092598,19.394658146188217,1,0,0,0,0,1,0,0,0,0,-1
antagonistic,3,12,3.8474906025042036e-06,17.987650766549024,JJ,2,JJ,0,antagonist,antagonist,antagon,0.02582252627757747,19.394658146188217,1,0,1,0,0,1,0,0,0,0,-1
antipathy,2,9,2.5649937350028022e-06,18.572613267270178,NN,2,NN,0,antipathi,antipathi,antipathy,0.09382354114061987,14.099697098901123,1,0,1,0,0,1,0,0,0,0,-1
anxiety,30,7,3.847490602504203e-05,14.66572267166166,NN,3,NN,0,anxieti,anxieti,anxy,0.03239633984692997,72.23649968413255,1,1,0,1,0,1,0,1,0,0,-1
anxious,56,7,7.181982458007846e-05,13.765258345212574,JJ,4,JJ,0,anxiou,anxious,anxy,0.018555830441296658,113.97834495578363,0,1,0,1,0,1,0,0,0,0,-1
apathy,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,apathi,apathi,apathy,0.04259179126693419,8.049848549450562,0,0,0,0,0,1,0,1,0,0,-1
apologetic,3,10,3.8474906025042036e-06,17.987650766549024,JJ,2,JJ,0,apologet,apologet,apologet,0.07527442893660936,19.394658146188217,0,0,0,0,0,0,1,0,0,1,1
apologize,7,9,8.977478072509808e-06,16.765258345212576,VB,2,VB,0,apolog,apolog,apolog,0.06412520110601101,32.789316292376434,0,0,0,0,0,0,1,1,0,1,1
appalling,5,9,6.412484337507005e-06,17.250685172382816,VBG,2,VB,0,appal,appal,appal,0.032101569748589465,28.639602272815992,0,0,1,1,0,1,0,0,0,0,-1
apparition,8,10,1.0259974940011209e-05,16.572613267270178,NN,1,NN,0,apparit,apparit,apparit,0.024334085673950255,36.6974553917507,0,0,0,1,0,0,0,0,1,0,0
appendicitis,3,12,3.8474906025042036e-06,17.987650766549024,NN,3,NN,0,append,append,appendicit,0.03241003489576742,14.099697098901123,0,0,0,1,0,1,0,1,0,0,-1
applause,19,8,2.4367440482526622e-05,15.324685753826593,NN,3,NN,0,applaus,applaus,applaus,0.03838865601220469,50.49458623894591,0,0,0,0,1,0,1,0,1,1,1
appreciation,8,12,1.0259974940011209e-05,16.572613267270178,NN,1,NN,0,appreci,appreci,apprecy,0.06689347480691753,40.39878839560449,0,0,0,0,1,0,1,0,0,1,1
apprehension,8,12,1.0259974940011209e-05,16.572613267270178,NN,2,NN,0,apprehens,apprehens,apprehend,0.017900519455326305,40.39878839560449,0,0,0,1,0,1,0,0,0,0,-1
apprehensive,2,12,2.5649937350028022e-06,18.572613267270178,RB,2,RB,0,apprehens,apprehens,apprehend,0.025970620022994165,14.099697098901123,0,1,0,1,0,1,0,0,0,0,-1
approbation,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,approb,approb,approb,0.012777537380080257,8.049848549450562,0,0,0,0,0,0,1,0,0,1,1
approve,1,7,1.2824968675014011e-06,19.572613267270178,IN,1,IN,0,approv,approv,approv,0.03425467467851303,8.049848549450562,0,0,0,0,1,0,1,0,0,1,1
ardent,2,6,2.5649937350028022e-06,18.572613267270178,NN,2,NN,0,ardent,ardent,ard,0.018169474745931332,14.099697098901123,0,1,0,0,1,0,1,0,0,0,1
argue,17,5,2.180244674752382e-05,15.485150426019839,VB,3,VB,0,argu,argu,argu,0.02574150505372839,67.36055703940377,1,0,0,0,0,1,0,0,0,0,-1
argument,68,8,8.720978699009528e-05,13.485150426019839,NN,1,NN,0,argument,argument,argu,0.029762566734006634,100.72111407880756,1,0,0,0,0,1,0,0,0,0,-1
armed,4,5,5.1299874700056045e-06,17.572613267270178,VBN,1,VB,0,arm,arm,arm,0.026916159067849433,24.199394197802246,1,0,0,1,0,1,1,0,0,0,0
armor,5,5,6.412484337507005e-06,17.250685172382816,NN,2,NN,0,armor,armor,arm,0.030319529154577234,28.639602272815992,0,0,0,1,0,0,1,0,0,1,1
arouse,2,6,2.5649937350028022e-06,18.572613267270178,VB,1,VB,0,arous,arous,ar,0.029708203406696575,14.099697098901123,0,1,0,0,0,0,1,0,0,0,1
arrogant,13,8,1.6672459277518214e-05,15.872173549129087,JJ,3,JJ,0,arrog,arrog,arrog,0.030530221604532375,56.542314807023104,1,0,1,0,0,1,0,0,0,0,-1
arson,2,5,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,arson,arson,arson,0.1769197483395728,8.049848549450562,1,0,0,1,0,1,0,0,0,0,-1
art,49,3,6.284234650756866e-05,13.95790342315497,NN,6,NN,0,art,art,art,0.022123140137520765,97.59515358241796,0,1,0,0,1,0,1,1,1,0,1
artillery,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,artilleri,artilleri,artillery,0.2118381197223832,8.049848549450562,0,0,0,1,0,1,0,0,0,0,-1
ashamed,36,7,4.616988723005044e-05,14.402688265827866,VBN,6,VB,0,asham,asham,asham,0.021971636870167947,92.56415907536669,0,0,1,0,0,1,0,1,0,0,-1
ashes,15,5,1.9237453012521015e-05,15.66572267166166,NNS,5,NN,0,ash,ash,ash,0.035632198769146556,50.49458623894591,0,0,0,0,0,1,0,1,0,0,-1
aspiration,3,10,3.8474906025042036e-06,17.987650766549024,NN,2,NN,0,aspir,aspir,aspir,0.020114249382241853,19.394658146188217,0,1,0,0,1,0,1,0,1,1,1
assail,1,6,1.2824968675014011e-06,19.572613267270178,VB,1,VB,0,assail,assail,assail,0.030491850566100615,8.049848549450562,1,0,0,1,0,1,0,0,1,0,-1
assailant,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,assail,assail,assail,0.19166306070120384,8.049848549450562,1,0,0,1,0,1,0,1,0,0,-1
assault,2,7,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,assault,assault,assault,0.02194954351219181,14.099697098901123,1,0,0,1,0,1,0,0,0,0,-1
assembly,3,8,3.8474906025042036e-06,17.987650766549024,NN,1,NN,0,assembl,assembl,assembl,0.01868515025662486,19.394658146188217,0,0,0,0,0,0,1,0,0,1,1
asserting,1,9,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,assert,assert,assert,0.02118381197223832,8.049848549450562,0,0,0,0,0,0,1,0,0,1,1
associate,1,9,1.2824968675014011e-06,19.572613267270178,VB,1,VB,0,associ,associ,assocy,0.013218142117324404,8.049848549450562,0,0,0,0,0,0,1,0,0,1,1
assurance,14,9,1.7954956145019616e-05,15.765258345212574,NN,2,NN,0,assur,assur,ass,0.02772296889617668,53.57863258475287,0,0,0,0,0,0,1,0,0,1,1
assured,37,7,4.745238409755184e-05,14.363159901641229,VBD,4,VB,0,assur,assur,ass,0.029904989443936415,95.96521941097429,0,0,0,0,0,0,1,0,0,1,1
astonishingly,9,13,1.154247180751261e-05,16.402688265827866,RB,1,RB,0,astonishingli,astonish,aston,0.02489314225239663,40.39878839560449,0,0,0,0,0,0,1,0,1,0,1
astonishment,9,12,1.154247180751261e-05,16.402688265827866,NN,2,NN,0,astonish,astonish,aston,0.0561212650486736,40.39878839560449,0,0,0,0,1,0,1,0,1,0,1
asylum,3,6,3.8474906025042036e-06,17.987650766549024,NN,1,NN,0,asylum,asylum,asyl,0.06563830949590281,19.394658146188217,0,0,0,1,0,1,0,0,0,0,-1
atone,2,5,2.5649937350028022e-06,18.572613267270178,VB,2,VB,0,aton,aton,aton,0.21756347430947467,8.049848549450562,0,1,0,0,1,0,1,0,0,1,1
atrocious,1,9,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,atroci,atroci,atrocy,0.013218142117324404,8.049848549450562,1,0,1,0,0,1,0,0,0,0,-1
attack,17,6,2.180244674752382e-05,15.485150426019839,NN,2,NN,0,attack,attack,attack,0.05078262167640714,59.39491078350141,1,0,0,1,0,1,0,0,0,0,-1
attacking,2,9,2.5649937350028022e-06,18.572613267270178,VBG,1,VB,0,attack,attack,attack,0.08891075469500972,14.099697098901123,1,0,1,1,0,1,0,1,1,0,-1
attendant,4,9,5.1299874700056045e-06,17.572613267270178,NN,2,NN,0,attend,attend,attend,0.06116187224139891,24.199394197802246,0,0,0,0,0,0,1,0,0,1,1
attentive,10,9,1.282496867501401e-05,16.250685172382816,JJ,2,JJ,0,attent,attent,at,0.027236792303188623,43.919311932074244,0,0,0,0,0,0,1,0,0,1,1
attenuation,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,attenu,attenu,attenu,0.04791576517530096,8.049848549450562,0,0,0,0,0,1,0,1,0,0,-1
attest,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,attest,attest,attest,0.04820268592485367,8.049848549450562,0,0,0,0,0,0,1,0,0,1,1
aunt,136,4,0.00017441957398019056,12.485150426019839,NNP,3,NN,0,aunt,aunt,aunt,0.0394078959312123,115.10979539043991,0,0,0,0,0,0,1,0,0,1,1
auspicious,1,10,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,auspici,auspici,auspicy,0.06939524611595312,8.049848549450562,0,1,0,0,1,0,1,0,0,0,1
austere,1,7,1.2824968675014011e-06,19.572613267270178,RB,1,RB,0,auster,auster,aust,0.030491850566100615,8.049848549450562,0,0,0,1,0,1,0,1,0,0,-1
authentic,3,9,3.8474906025042036e-06,17.987650766549024,JJ,2,JJ,0,authent,authent,auth,0.03001528622851028,19.394658146188217,0,0,0,0,1,0,1,0,0,1,1
