term_str,n,n_chars,p,i,max_pos,n_pos,max_pos_group,stop,stem_porter,stem_snowball,stem_lancaster,tfidf_mean,dfidf
abated,1,6,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,abat,abat,ab,0.2683282849816854,8.049848549450562
abates,1,6,1.2824968675014011e-06,19.572613267270178,VBZ,1,VB,0,abat,abat,ab,0.06939524611595312,8.049848549450562
abating,1,7,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,abat,abat,ab,0.01701870729270732,8.049848549450562
abbey,6,5,7.694981205008407e-06,16.987650766549024,NNP,1,NN,0,abbey,abbey,abbey,0.030707479910843626,24.199394197802246
abc,3,3,3.8474906025042036e-06,17.987650766549024,NNP,1,NN,0,abc,abc,abc,0.022846841834041093,19.394658146188217
abdomen,1,7,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abdomen,abdomen,abdom,0.2118381197223832,8.049848549450562
abdominal,1,9,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,abdomin,abdomin,abdomin,0.011925701554741572,8.049848549450562
abecoming,1,9,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,abecom,abecom,abecom,0.016982802846942112,8.049848549450562
aberdeen,1,8,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,aberdeen,aberdeen,aberdeen,0.02854556223209419,8.049848549450562
abetted,1,7,1.2824968675014011e-06,19.572613267270178,VBN,1,VB,0,abet,abet,abet,0.6192191191885048,8.049848549450562
abeyance,1,8,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abey,abey,abey,0.02118381197223832,8.049848549450562
abhor,1,5,1.2824968675014011e-06,19.572613267270178,VBP,1,VB,0,abhor,abhor,abh,0.026832828498168544,8.049848549450562
abhorred,1,8,1.2824968675014011e-06,19.572613267270178,VBD,1,VB,0,abhor,abhor,abhor,0.02563646034856867,8.049848549450562
abide,2,5,2.5649937350028022e-06,18.572613267270178,VBP,1,VB,0,abid,abid,abid,0.04149406468788949,8.049848549450562
abilities,3,9,3.8474906025042036e-06,17.987650766549024,NN,2,NN,0,abil,abil,abl,0.019112872687262843,19.394658146188217
ability,7,7,8.977478072509808e-06,16.765258345212576,NN,1,NN,0,abil,abil,abl,0.053167506766017184,36.6974553917507
ablative,1,8,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abl,ablat,abl,0.03425467467851303,8.049848549450562
ablaze,2,6,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,ablaz,ablaz,ablaz,0.03569002275174439,14.099697098901123
able,116,4,0.00014876963663016253,12.714632272142607,JJ,2,JJ,0,abl,abl,abl,0.0167155083609434,135.35449545659392
ablutions,1,9,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,ablut,ablut,ablut,0.0442299370848932,8.049848549450562
abnegazione,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abnegazion,abnegazion,abnegaz,0.049999059313357526,8.049848549450562
abnormal,4,8,5.1299874700056045e-06,17.572613267270178,JJ,1,JJ,0,abnorm,abnorm,abnorm,0.05014466060933775,24.199394197802246
abnormally,1,10,1.2824968675014011e-06,19.572613267270178,RB,1,RB,0,abnorm,abnorm,abnorm,0.045737775849150925,8.049848549450562
aboard,5,6,6.412484337507005e-06,17.250685172382816,IN,3,IN,0,aboard,aboard,aboard,0.0650172664252765,24.199394197802246
abolish,1,7,1.2824968675014011e-06,19.572613267270178,VB,1,VB,0,abolish,abolish,abol,0.03985073539331962,8.049848549450562
abolished,5,9,6.412484337507005e-06,17.250685172382816,VBN,3,VB,0,abolish,abolish,abol,0.07435735789172158,28.639602272815992
abolishing,1,10,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,abolish,abolish,abol,0.013218142117324404,8.049848549450562
abominable,4,10,5.1299874700056045e-06,17.572613267270178,JJ,3,JJ,0,abomin,abomin,abomin,0.0575189179254937,24.199394197802246
abominably,1,10,1.2824968675014011e-06,19.572613267270178,RB,1,RB,0,abomin,abomin,abomin,0.04791576517530096,8.049848549450562
abomination,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abomin,abomin,abomin,0.16099697098901125,8.049848549450562
abortive,3,8,3.8474906025042036e-06,17.987650766549024,JJ,1,JJ,0,abort,abort,abort,0.022491381829767954,19.394658146188217
abound,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abound,abound,abound,0.035152177071836516,8.049848549450562
abounded,1,8,1.2824968675014011e-06,19.572613267270178,VBD,1,VB,0,abound,abound,abound,0.03692591077729616,8.049848549450562
abounding,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abound,abound,abound,0.017928393205903257,8.049848549450562
about,1996,5,0.002559863747532797,8.609717261932918,IN,10,IN,1,about,about,about,0.01194383230484732,49.466546045166915
aboutbut,1,8,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,aboutbut,aboutbut,aboutbut,0.045479370335878885,8.049848549450562
aboutfor,1,8,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,aboutfor,aboutfor,aboutf,0.020747032343944746,8.049848549450562
aboutit,1,7,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,aboutit,aboutit,aboutit,0.02804825278554203,8.049848549450562
aboutoh,1,7,1.2824968675014011e-06,19.572613267270178,IN,1,IN,0,aboutoh,aboutoh,aboutoh,0.03888815724372252,8.049848549450562
abouttheir,1,10,1.2824968675014011e-06,19.572613267270178,RP,1,RP,0,abouttheir,abouttheir,abouttheir,0.06288944179258252,8.049848549450562
aboutthings,1,11,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,aboutth,aboutth,aboutth,0.029704238189854473,8.049848549450562
aboutto,1,7,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,aboutto,aboutto,aboutto,0.05261338921209518,8.049848549450562
above,208,5,0.0002667593484402914,11.872173549129087,IN,8,IN,1,abov,abov,abov,0.013639160836342364,140.23831833736605
abraham,1,7,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,abraham,abraham,abraham,0.024101342962426834,8.049848549450562
abrams,1,6,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,abram,abram,abram,0.030262588531769028,8.049848549450562
abrasions,1,9,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,abras,abras,abras,0.07252115810315822,8.049848549450562
abreast,5,7,6.412484337507005e-06,17.250685172382816,NN,2,NN,0,abreast,abreast,abreast,0.023147092838238653,24.199394197802246
abroad,18,6,2.308494361502522e-05,15.402688265827866,RB,5,RB,0,abroad,abroad,abroad,0.03647099402435741,56.542314807023104
abrupt,15,6,1.9237453012521015e-05,15.66572267166166,JJ,6,JJ,0,abrupt,abrupt,abrupt,0.021351247595536728,62.14436930763064
abruptly,43,8,5.514736530256025e-05,14.14634851256808,NN,7,NN,0,abruptli,abrupt,abrupt,0.020132569520261285,100.72111407880756
abruptness,5,10,6.412484337507005e-06,17.250685172382816,NN,3,NN,0,abrupt,abrupt,abrupt,0.028416425489863395,28.639602272815992
absence,18,7,2.308494361502522e-05,15.402688265827866,NN,2,NN,0,absenc,absenc,abs,0.02306910199361031,53.57863258475287
absences,1,8,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,absenc,absenc,abs,0.021523659223129845,8.049848549450562
absent,28,6,3.590991229003923e-05,14.765258345212574,JJ,5,JJ,0,absent,absent,abs,0.019113768319266797,85.14980899189591
absently,10,8,1.282496867501401e-05,16.250685172382816,NN,5,NN,0,absent,absent,abs,0.03619706702115842,47.279204545631984
absentmindedly,2,14,2.5649937350028022e-06,18.572613267270178,RP,2,RP,0,absentmindedli,absentmind,absentmind,0.026821818079096588,14.099697098901123
absinthe,11,8,1.4107465542515412e-05,16.11318164863288,NN,1,NN,0,absinth,absinth,absinth,0.04928310487211076,24.199394197802246
absolute,24,8,3.077992482003363e-05,14.987650766549022,JJ,4,JJ,0,absolut,absolut,absolv,0.02514845941604952,74.55840909126398
absolutely,71,10,9.105727759259948e-05,13.422866147765497,RB,5,RB,0,absolut,absolut,absolv,0.0362688119850368,122.1692592280924
absolutions,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,absolut,absolut,absolv,0.016982802846942112,8.049848549450562
absolving,1,9,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,absolv,absolv,absolv,0.02353756885804258,8.049848549450562
absorb,1,6,1.2824968675014011e-06,19.572613267270178,VB,1,VB,0,absorb,absorb,absorb,0.02804825278554203,8.049848549450562
absorbed,61,8,7.823230891758547e-05,13.641875929707293,VBN,7,VB,0,absorb,absorb,absorb,0.024832652818565868,110.3841583381316
absorber,2,8,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,absorb,absorb,absorb,0.1377699276389106,14.099697098901123
absorbing,14,9,1.7954956145019616e-05,15.765258345212574,VBG,2,VB,0,absorb,absorb,absorb,0.015291986921762658,53.57863258475287
absorption,7,10,8.977478072509808e-06,16.765258345212576,NN,1,NN,0,absorpt,absorpt,absorb,0.04340656643676916,36.6974553917507
abstain,2,7,2.5649937350028022e-06,18.572613267270178,VB,1,VB,0,abstain,abstain,abstain,0.02988970876229039,14.099697098901123
abstemious,1,10,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,abstemi,abstemi,abstemy,0.023816119968788647,8.049848549450562
abstinence,2,10,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,abstin,abstin,abstin,0.020650804702229242,14.099697098901123
abstract,20,8,2.564993735002802e-05,15.250685172382816,JJ,4,JJ,0,abstract,abstract,abstract,0.017510903585225012,72.23649968413255
abstracted,4,10,5.1299874700056045e-06,17.572613267270178,JJ,2,JJ,0,abstract,abstract,abstract,0.01731992615031965,24.199394197802246
abstractedly,12,12,1.5389962410016814e-05,15.987650766549022,RB,4,RB,0,abstractedli,abstract,abstract,0.03703154899741361,53.57863258475287
abstracting,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,abstract,abstract,abstract,0.019350597474640775,8.049848549450562
abstraction,6,11,7.694981205008407e-06,16.987650766549024,NN,1,NN,0,abstract,abstract,abstract,0.0506416492110165,32.789316292376434
abstractions,2,12,2.5649937350028022e-06,18.572613267270178,NN,2,NN,0,abstract,abstract,abstract,0.017650388363938722,14.099697098901123
absurd,58,6,7.438481831508126e-05,13.714632272142607,JJ,9,JJ,0,absurd,absurd,absurd,0.020751721416663555,116.20918329610325
absurdity,6,9,7.694981205008407e-06,16.987650766549024,NN,1,NN,0,absurd,absurd,absurd,0.03688481390007563,28.639602272815992
absurdly,12,8,1.5389962410016814e-05,15.987650766549022,RB,1,RB,0,absurdli,absurd,absurd,0.029175817856889396,47.279204545631984
abundant,2,8,2.5649937350028022e-06,18.572613267270178,VBZ,2,VB,0,abund,abund,abund,0.03004009822446466,14.099697098901123
abuse,5,5,6.412484337507005e-06,17.250685172382816,VB,2,VB,0,abus,abus,abus,0.03976499478979467,28.639602272815992
abused,3,6,3.8474906025042036e-06,17.987650766549024,VBD,3,VB,0,abus,abus,abus,0.11131356984457567,19.394658146188217
abuses,1,6,1.2824968675014011e-06,19.572613267270178,VBZ,1,VB,0,abus,abus,abus,0.050311553434066014,8.049848549450562
abut,1,4,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,abut,abut,abut,0.016982802846942112,8.049848549450562
abyss,4,5,5.1299874700056045e-06,17.572613267270178,NN,2,NN,0,abyss,abyss,abyss,0.018012399523854097,24.199394197802246
abysses,2,7,2.5649937350028022e-06,18.572613267270178,NNS,1,NN,0,abyss,abyss,abyss,0.03686157773167191,14.099697098901123
abyssinia,1,9,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,abyssinia,abyssinia,abyssin,0.04128127461256698,8.049848549450562
academic,2,8,2.5649937350028022e-06,18.572613267270178,JJ,1,JJ,0,academ,academ,academ,0.1731150225688293,8.049848549450562
academy,4,7,5.1299874700056045e-06,17.572613267270178,NNP,2,NN,0,academi,academi,academy,0.07445964338780627,19.394658146188217
accelerating,2,12,2.5649937350028022e-06,18.572613267270178,NN,2,NN,0,acceler,acceler,accel,0.06103764977879274,14.099697098901123
accelerator,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,acceler,acceler,accel,0.017928393205903257,8.049848549450562
